S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M3x,M3y,M3z,M1x,M1y,M1z,M4x,M4y,M4z,M2x,M2y,M2z,sesion_time_stamp
6,1,3,2,17,2,0,0,1,6,23,9,2,14,0,0,6,6,0,67,33,2,13,4,4,12,2,1.53499805927277,0.60907244682312,0.852785885334015,1.65807032585144,0.396488159894943,0.620481789112091,1.42024421691895,0.137922286987305,0.628721952438355,1.40310573577881,0.255275636911392,0.791926562786102,11_Sep_2023_14_40
3,1,2,12,14,0,0,1,10,4,22,6,0,14,0,5,2,2,0,66,34,0,15,3,4,9,0,1.53535211086273,0.609227180480957,0.852670848369598,1.65803563594818,0.396446853876114,0.620540261268616,1.4236536026001,0.137263491749763,0.629580020904541,1.4037994146347,0.254811137914658,0.792099177837372,11_Sep_2023_14_40
4,0,1,12,14,0,0,0,3,5,24,10,1,12,0,5,2,6,1,69,31,0,15,7,5,10,2,1.5352064371109,0.609031915664673,0.852814435958862,1.65800344944,0.396230280399323,0.620879352092743,1.42760980129242,0.136559158563614,0.630604386329651,1.40457308292389,0.254455268383026,0.792437374591827,11_Sep_2023_14_40
3,0,4,7,13,4,5,1,5,6,23,8,1,16,0,3,0,7,0,65,33,2,17,6,4,5,0,1.53541469573975,0.609054684638977,0.852853953838348,1.65804576873779,0.396065592765808,0.620924472808838,1.43057668209076,0.135990023612976,0.631571352481842,1.40532982349396,0.254128724336624,0.792925953865051,11_Sep_2023_14_40
7,0,0,2,11,0,0,0,6,2,23,7,1,16,8,5,0,10,1,67,35,3,16,3,5,8,2,1.53552138805389,0.60912275314331,0.852774202823639,1.65808641910553,0.395780503749847,0.620972454547882,1.43232452869415,0.135341733694077,0.631729125976563,1.40584337711334,0.253839701414108,0.793210387229919,11_Sep_2023_14_40
5,10,3,6,13,0,1,0,3,5,24,5,1,14,9,7,0,6,0,69,34,2,16,4,5,10,1,1.53570914268494,0.609185516834259,0.852632164955139,1.65814578533173,0.395543277263641,0.621013581752777,1.4343478679657,0.135070785880089,0.63222348690033,1.40639162063599,0.253617316484451,0.793499708175659,11_Sep_2023_14_40
5,2,3,3,14,0,0,0,5,7,21,2,0,12,0,5,4,5,1,70,35,2,14,3,1,11,2,1.5359582901001,0.609246611595154,0.852542877197266,1.65825796127319,0.395404160022736,0.621188879013062,1.43572175502777,0.134804874658585,0.632517516613007,1.40666687488556,0.253555864095688,0.793580234050751,11_Sep_2023_14_40
5,2,5,0,9,0,3,0,3,2,23,5,2,13,0,4,3,7,0,67,29,2,16,3,2,9,13,1.53604114055634,0.60936313867569,0.852542877197266,1.65832030773163,0.395248204469681,0.621445894241333,1.43664717674255,0.134837672114372,0.632558584213257,1.40696036815643,0.253409743309021,0.79350197315216,11_Sep_2023_14_40
1,1,3,2,8,0,0,0,2,1,21,4,5,14,0,2,0,7,0,66,34,0,17,4,6,3,1,1.53626000881195,0.609446287155151,0.852499425411224,1.65855693817139,0.395248800516128,0.621202290058136,1.4373232126236,0.135014966130257,0.632296442985535,1.40695226192474,0.25361904501915,0.793142735958099,11_Sep_2023_14_40
9,0,1,1,11,0,9,0,3,6,22,3,0,20,1,2,0,7,0,65,34,2,14,0,3,5,2,1.5365492105484,0.609535574913025,0.852624535560608,1.65870606899261,0.395309537649155,0.621277391910553,1.43707203865051,0.135443329811096,0.631896197795868,1.40682399272919,0.254018068313599,0.792626917362213,11_Sep_2023_14_40
