S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
15,0,11,19,60,2,0,0,4,30,11,4,0,8,0,0,2,4,0,34,19,5,65,14,3,77,3,16,15,8,0,1,1.46883738040924,0.602929413318634,0.89804470539093,1.56214380264282,0.405221790075302,0.627108752727508,1.01455247402191,0.580640316009522,0.616810023784637,1.15958678722382,0.526443362236023,0.789490282535553,16_Aug_2023_11_24
13,1,10,20,55,0,1,0,5,34,6,3,3,27,1,0,1,8,0,33,22,5,61,13,2,79,9,16,16,6,14,1,1.46901750564575,0.602986395359039,0.897863745689392,1.5620744228363,0.405249446630478,0.626566410064697,1.01083934307098,0.581566393375397,0.623932540416718,1.15948832035065,0.527565777301788,0.793658435344696,16_Aug_2023_11_24
15,5,11,22,52,0,0,0,7,31,7,2,1,17,1,1,2,5,0,37,25,5,65,9,1,80,9,16,16,6,10,0,1.4691869020462,0.602970361709595,0.897630870342254,1.56188416481018,0.405228316783905,0.626262426376343,1.0070880651474,0.582599818706512,0.631275832653046,1.15933752059937,0.52871310710907,0.797764897346497,16_Aug_2023_11_24
15,2,11,23,47,0,0,0,8,30,8,4,0,20,1,0,0,9,7,37,28,2,66,15,0,77,9,16,16,6,0,1,1.46934902667999,0.603106558322907,0.897332906723022,1.56172513961792,0.405157864093781,0.625947892665863,1.00362837314606,0.583496868610382,0.638779282569885,1.15923237800598,0.529301106929779,0.801805675029755,16_Aug_2023_11_24
15,1,11,20,54,4,0,0,9,35,7,1,1,16,0,0,2,8,3,34,28,5,66,13,1,78,9,13,16,10,1,0,1.46952402591705,0.603331923484802,0.897078931331635,1.56161797046661,0.40523436665535,0.625555098056793,1.00068140029907,0.584257185459137,0.646645128726959,1.15946018695831,0.529545545578003,0.806118845939636,16_Aug_2023_11_24
10,1,13,24,50,1,1,0,7,30,5,4,0,21,0,1,2,6,3,36,29,5,67,13,1,80,9,14,16,11,1,0,1.4697459936142,0.603398561477661,0.896938443183899,1.56151747703552,0.4052554666996,0.625179469585419,0.998217880725861,0.584402501583099,0.652563571929932,1.159752368927,0.52962201833725,0.809328258037567,16_Aug_2023_11_24
14,1,14,26,48,0,0,0,3,27,3,4,3,21,0,3,2,8,2,33,30,1,66,13,2,81,10,16,19,9,0,0,1.4700915813446,0.603486239910126,0.896861493587494,1.56137073040009,0.405288815498352,0.624769806861877,0.994745671749115,0.584404468536377,0.659968137741089,1.16017603874207,0.529705941677094,0.813433349132538,16_Aug_2023_11_24
19,1,13,22,42,0,0,0,5,27,4,3,2,23,0,10,1,9,1,33,29,6,68,16,2,73,9,11,16,10,0,0,1.4704772233963,0.603516697883606,0.896696448326111,1.56112384796143,0.405310750007629,0.624391973018646,0.991319537162781,0.584386944770813,0.667955338954926,1.1604300737381,0.529581546783447,0.81723552942276,16_Aug_2023_11_24
18,4,10,22,48,1,1,0,5,26,7,2,0,11,3,0,2,9,4,36,27,4,68,11,1,79,9,16,15,10,0,0,1.47084259986877,0.603772163391113,0.896584212779999,1.56085443496704,0.40537840127945,0.623998880386353,0.988256752490997,0.584167003631592,0.676418662071228,1.16073596477509,0.529160380363464,0.820962071418762,16_Aug_2023_11_24
15,5,13,25,49,1,3,4,6,27,5,2,0,10,0,0,0,8,1,31,25,4,65,11,2,81,10,15,18,8,1,0,1.47107517719269,0.603936433792114,0.896431982517242,1.56051731109619,0.40520253777504,0.623899459838867,0.985224366188049,0.583805739879608,0.684677243232727,1.1613312959671,0.528416693210602,0.824843049049377,16_Aug_2023_11_24
16,3,13,20,51,3,2,0,4,28,7,4,1,6,1,0,1,8,2,35,27,5,68,13,0,76,9,17,16,8,0,0,1.47123265266418,0.604093909263611,0.896170675754547,1.5604145526886,0.405164837837219,0.623648047447205,0.983749270439148,0.583166778087616,0.69124710559845,1.16207158565521,0.527631163597107,0.827893912792206,16_Aug_2023_11_24
13,1,14,22,51,1,0,0,5,27,8,0,0,4,0,1,4,5,2,34,25,0,66,17,2,78,7,20,17,8,0,0,1.47140979766846,0.604291200637817,0.895822167396545,1.56011867523193,0.405200004577637,0.623271048069,0.98221093416214,0.582187712192535,0.699916064739227,1.16337835788727,0.526164472103119,0.832212090492249,16_Aug_2023_11_24
13,1,11,21,49,1,1,0,5,27,6,4,1,6,0,0,2,7,5,32,23,4,65,14,2,76,10,16,15,8,0,0,1.47168481349945,0.604569792747498,0.895398914813995,1.56001377105713,0.405178755521774,0.622812747955322,0.980701923370361,0.580850720405579,0.708663642406464,1.16480588912964,0.524259209632874,0.83665668964386,16_Aug_2023_11_24
15,4,16,20,52,1,0,2,5,27,5,4,0,7,1,0,2,9,8,34,26,4,63,8,1,78,11,13,16,10,1,0,1.47188293933868,0.604825735092163,0.894869744777679,1.55995893478394,0.405107945203781,0.622422099113464,0.979103446006775,0.579548060894012,0.717428028583527,1.16620481014252,0.522458016872406,0.841279745101929,16_Aug_2023_11_24
15,1,13,25,48,0,1,1,5,27,1,0,0,2,14,0,2,9,3,32,24,7,65,14,2,76,10,19,16,10,0,4,1.47204041481018,0.605147540569305,0.894323229789734,1.55993437767029,0.404972344636917,0.622102677822113,0.978033721446991,0.578017711639404,0.725863814353943,1.16751635074615,0.520845949649811,0.845769166946411,16_Aug_2023_11_24
14,1,12,24,46,1,3,0,4,25,5,3,1,5,0,0,1,14,1,34,23,9,61,15,2,75,9,15,15,8,1,1,1.47217881679535,0.605373501777649,0.89384526014328,1.56002938747406,0.404957205057144,0.621650993824005,0.977599143981934,0.576632797718048,0.732075273990631,1.16846346855164,0.519588708877564,0.84912109375,16_Aug_2023_11_24
10,1,13,24,42,0,12,0,4,23,5,2,1,5,0,0,1,8,3,32,23,5,59,14,2,77,10,18,17,8,0,0,1.47249662876129,0.605702638626099,0.893295288085938,1.55996322631836,0.404937565326691,0.620961427688599,0.976822435855866,0.574248135089874,0.742528557777405,1.1701352596283,0.517133355140686,0.854557275772095,16_Aug_2023_11_24
17,0,13,24,47,3,0,0,4,20,5,4,1,4,0,0,2,7,0,31,30,1,55,11,1,75,10,15,16,9,1,0,1.47272396087646,0.605840504169464,0.893058061599731,1.55989634990692,0.404919743537903,0.620560944080353,0.97644305229187,0.572509050369263,0.748029291629791,1.17121231555939,0.515840470790863,0.857655465602875,16_Aug_2023_11_24
17,0,13,26,45,0,1,0,4,20,3,3,0,4,0,0,2,11,0,32,24,5,55,13,1,77,9,11,14,8,0,0,1.47317039966583,0.605862557888031,0.892834305763245,1.5597460269928,0.404918611049652,0.620068907737732,0.975752592086792,0.570262134075165,0.754680335521698,1.17267775535584,0.514814913272858,0.861361980438232,16_Aug_2023_11_24
17,6,7,25,47,0,0,0,5,17,7,0,0,4,0,1,2,5,1,26,25,6,61,11,3,73,10,11,15,10,0,0,1.47359907627106,0.605963706970215,0.892644464969635,1.55950522422791,0.404921293258667,0.619618117809296,0.974759042263031,0.568214297294617,0.761006057262421,1.17374849319458,0.514222383499146,0.864472389221191,16_Aug_2023_11_24
17,1,11,25,47,0,4,0,6,19,7,0,0,9,0,0,1,13,1,28,23,10,62,16,1,71,11,15,13,4,0,1,1.47393763065338,0.606126189231873,0.892580270767212,1.5591641664505,0.40491646528244,0.619424402713776,0.974206268787384,0.566674590110779,0.765570342540741,1.17444467544556,0.513907968997955,0.866664111614227,16_Aug_2023_11_24
13,0,13,26,48,0,0,0,5,19,6,3,0,3,1,0,1,8,1,30,25,1,61,16,1,73,7,17,13,10,14,0,1.47437536716461,0.606215476989746,0.892506003379822,1.55873453617096,0.404942393302918,0.619172215461731,0.973668277263641,0.564830482006073,0.771395325660706,1.17527425289154,0.513429820537567,0.869310855865479,16_Aug_2023_11_24
15,0,13,24,44,2,1,1,7,16,4,3,1,7,5,0,2,10,1,29,25,9,57,15,3,71,9,15,19,8,0,1,1.47481632232666,0.606333494186401,0.892501831054688,1.55828022956848,0.404888868331909,0.619045734405518,0.9732586145401,0.562985241413116,0.777011811733246,1.17621433734894,0.51275759935379,0.871850967407227,16_Aug_2023_11_24
14,0,14,28,48,0,2,0,4,17,4,2,1,5,0,0,1,9,4,27,25,6,57,14,1,74,10,16,15,6,0,0,1.47533333301544,0.606421172618866,0.892512857913971,1.55773842334747,0.404878884553909,0.618857681751251,0.97289103269577,0.561173141002655,0.782038450241089,1.17720127105713,0.511745095252991,0.874216496944428,16_Aug_2023_11_24
16,1,13,27,42,1,0,0,3,21,6,6,2,5,0,0,7,10,1,32,27,4,56,13,2,72,10,12,15,9,1,0,1.47591602802277,0.606535196304321,0.892669141292572,1.55715262889862,0.404902875423431,0.618609189987183,0.972703874111176,0.559320569038391,0.786576926708221,1.17821526527405,0.510497033596039,0.87648993730545,16_Aug_2023_11_24
15,1,11,28,45,0,0,0,5,22,5,0,1,5,12,1,2,6,1,32,27,5,58,11,1,73,11,13,13,10,0,0,1.47627711296082,0.606646239757538,0.892717242240906,1.55670464038849,0.404936224222183,0.618413805961609,0.972624003887176,0.558048069477081,0.789946138858795,1.17895269393921,0.509551465511322,0.878105759620667,16_Aug_2023_11_24
21,0,12,25,43,0,1,0,1,18,4,5,1,3,14,0,2,11,0,26,25,6,57,15,2,76,8,17,13,9,0,0,1.4767097234726,0.606680870056152,0.892802596092224,1.55608725547791,0.405085355043411,0.618125796318054,0.972785115242004,0.556573748588562,0.794109761714935,1.18004417419434,0.508463740348816,0.880208611488342,16_Aug_2023_11_24
17,0,9,26,44,11,1,0,11,20,6,1,0,4,2,0,3,7,3,28,23,5,55,16,2,75,8,17,14,5,0,0,1.4771853685379,0.60676383972168,0.892983615398407,1.55561757087708,0.405100136995316,0.617962300777435,0.973175883293152,0.555115044116974,0.798038065433502,1.18118512630463,0.507438957691193,0.882111728191376,16_Aug_2023_11_24
14,0,11,27,43,1,1,2,3,21,0,4,1,5,0,1,1,8,3,31,23,4,54,12,2,75,9,18,14,6,1,1,1.47771954536438,0.606747150421143,0.893154799938202,1.55507040023804,0.405079275369644,0.618014216423035,0.973545849323273,0.553604602813721,0.801211059093475,1.18225157260895,0.506440281867981,0.883872866630554,16_Aug_2023_11_24
16,0,13,26,43,0,1,0,7,16,9,5,0,1,0,0,1,6,2,33,24,5,54,10,2,75,8,17,15,9,2,0,1.47821962833405,0.606673717498779,0.893400251865387,1.55466246604919,0.405100911855698,0.617942214012146,0.973843157291412,0.552120268344879,0.803478181362152,1.18312573432922,0.505539000034332,0.88523942232132,16_Aug_2023_11_24
15,0,13,27,46,0,1,0,7,18,7,9,1,7,1,0,3,8,0,31,25,8,55,14,3,70,7,13,15,4,1,0,1.47855150699615,0.606666505336762,0.893567383289337,1.55432593822479,0.405095398426056,0.617834329605103,0.974080324172974,0.551090121269226,0.804605603218079,1.18359637260437,0.505105912685394,0.886138737201691,16_Aug_2023_11_24
9,0,13,24,46,8,0,2,6,17,5,3,0,5,1,0,1,13,0,38,21,6,58,14,0,72,11,17,14,9,0,0,1.47902929782867,0.606555998325348,0.893758296966553,1.55397093296051,0.405175030231476,0.617618203163147,0.97440230846405,0.549801647663116,0.805869281291962,1.18408977985382,0.504550993442535,0.887118875980377,16_Aug_2023_11_24
11,1,14,24,49,0,0,0,6,18,7,4,14,3,1,0,0,10,0,34,25,6,53,17,2,74,10,14,15,8,0,4,1.47941517829895,0.606515884399414,0.893942654132843,1.55368053913116,0.405237019062042,0.617546498775482,0.9747514128685,0.5487100481987,0.807259261608124,1.18459105491638,0.503892004489899,0.88788628578186,16_Aug_2023_11_24
11,1,13,20,49,1,0,6,7,15,7,7,0,2,2,0,2,3,0,27,23,5,59,12,2,73,9,16,13,10,0,0,1.47981202602386,0.606470763683319,0.894141316413879,1.55345988273621,0.405280828475952,0.617505133152008,0.975000858306885,0.547633588314056,0.808907568454742,1.18521356582642,0.503203213214874,0.888588070869446,16_Aug_2023_11_24
13,0,15,24,54,12,0,0,7,13,1,7,0,3,0,0,2,4,5,32,26,10,60,13,1,75,11,16,14,12,0,0,1.48005747795105,0.606399714946747,0.894281387329102,1.55330502986908,0.405284702777863,0.617474496364594,0.975080490112305,0.546872198581696,0.80995637178421,1.18557798862457,0.502756416797638,0.889069795608521,16_Aug_2023_11_24
13,1,10,25,50,0,3,0,10,19,6,3,7,4,0,0,0,5,0,28,26,12,60,12,2,74,10,14,19,10,0,0,1.48037338256836,0.606292605400085,0.89442789554596,1.55318164825439,0.405475080013275,0.617316365242004,0.975144445896149,0.546021640300751,0.810769259929657,1.18591642379761,0.502389013767242,0.889493405818939,16_Aug_2023_11_24
