S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,9,36,76,0,7,0,9,4,13,10,1,1,3,5,1,3,18,6,15,5,36,22,4,57,10,9,20,0,0,1,1.5438027381897,0.64264714717865,0.772071301937103,1.66633522510529,0.411979734897613,0.567911922931671,1.38621866703033,0.64762145280838,0.322230786085129,1.33555936813355,0.562740325927734,0.514786124229431,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,9,37,82,0,7,2,7,5,14,6,1,0,3,8,0,4,21,4,13,2,35,20,3,57,7,8,20,2,8,9,1.5438027381897,0.64264714717865,0.772071301937103,1.66633522510529,0.411979734897613,0.567911922931671,1.38621866703033,0.64762145280838,0.322230786085129,1.33555936813355,0.562740325927734,0.514786124229431,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,13,37,85,8,8,1,13,5,14,0,1,2,2,7,4,6,21,3,16,4,36,21,4,57,3,14,20,4,0,1,1.54379010200501,0.642632603645325,0.772064924240112,1.66632449626923,0.412019163370132,0.567868232727051,1.38617062568665,0.647615730762482,0.322229981422424,1.33564054965973,0.562712669372559,0.514773011207581,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,12,35,83,0,5,0,9,4,15,1,0,1,2,2,0,3,20,6,18,1,35,17,4,60,8,12,22,2,0,0,1.54379010200501,0.642632603645325,0.772064924240112,1.66632449626923,0.412019163370132,0.567868232727051,1.38617062568665,0.647615730762482,0.322229981422424,1.33564054965973,0.562712669372559,0.514773011207581,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,9,36,80,2,8,5,7,6,14,4,0,3,11,0,1,5,20,4,15,3,39,19,5,56,3,13,20,2,0,1,1.54377675056458,0.642621755599976,0.772055864334106,1.66630578041077,0.411964863538742,0.568035542964935,1.38612127304077,0.647613704204559,0.322231233119965,1.33562159538269,0.562716722488403,0.514785766601563,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,10,38,79,0,5,4,9,7,17,6,1,9,0,13,0,3,20,0,15,3,33,21,10,58,3,11,22,3,1,0,1.54377675056458,0.642621755599976,0.772055864334106,1.66630578041077,0.411964863538742,0.568035542964935,1.38612127304077,0.647613704204559,0.322231233119965,1.33562159538269,0.562716722488403,0.514785766601563,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,9,39,77,2,8,0,6,6,15,6,1,4,2,5,2,1,16,4,15,3,37,19,3,60,6,17,24,2,4,10,1.54376804828644,0.642614305019379,0.772053778171539,1.66629302501678,0.41208279132843,0.567818880081177,1.38599634170532,0.647634923458099,0.322278141975403,1.3355907201767,0.562710106372833,0.514799416065216,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,9,42,78,4,11,0,7,5,13,7,0,6,6,4,1,5,19,5,15,4,39,22,6,58,5,11,21,2,2,1,1.54376804828644,0.642614305019379,0.772053778171539,1.66629302501678,0.41208279132843,0.567818880081177,1.38599634170532,0.647634923458099,0.322278141975403,1.3355907201767,0.562710106372833,0.514799416065216,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,12,36,69,0,14,0,9,5,17,4,2,6,8,5,1,1,18,6,12,3,38,21,3,60,4,15,23,1,0,1,1.54375600814819,0.642607033252716,0.772052466869354,1.66627728939056,0.412115544080734,0.567790150642395,1.38597118854523,0.647655427455902,0.322282135486603,1.33547222614288,0.562681615352631,0.514811158180237,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,9,31,71,0,3,1,10,7,14,5,0,8,7,1,0,4,17,4,11,4,42,20,3,59,4,16,24,0,1,0,1.54375600814819,0.642607033252716,0.772052466869354,1.66627728939056,0.412115544080734,0.567790150642395,1.38597118854523,0.647655427455902,0.322282135486603,1.33547222614288,0.562681615352631,0.514811158180237,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,9,37,73,1,7,1,9,3,15,5,0,8,0,2,0,5,20,5,15,11,37,18,1,60,4,9,23,3,1,1,1.54374778270721,0.642605185508728,0.772051274776459,1.66626048088074,0.412145853042603,0.567770004272461,1.38588273525238,0.647649466991425,0.322311848402023,1.33552432060242,0.562722980976105,0.514822244644165,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,11,29,65,1,9,0,7,6,15,9,0,8,3,2,1,1,19,8,13,2,38,20,3,56,5,11,21,7,1,1,1.54374778270721,0.642605185508728,0.772051274776459,1.66626048088074,0.412145853042603,0.567770004272461,1.38588273525238,0.647649466991425,0.322311848402023,1.33552432060242,0.562722980976105,0.514822244644165,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,10,30,64,0,5,0,11,7,16,6,0,8,2,4,1,4,20,9,13,10,41,17,8,54,3,13,18,6,1,0,1.54373860359192,0.642607748508453,0.77204829454422,1.66624093055725,0.412162780761719,0.567749083042145,1.38582575321198,0.647674918174744,0.32231205701828,1.33540797233582,0.562705278396606,0.514836013317108,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,9,31,60,0,4,4,9,6,16,1,0,6,3,4,1,0,18,6,14,3,40,20,4,55,4,14,20,3,0,1,1.54373860359192,0.642607748508453,0.77204829454422,1.66624093055725,0.412162780761719,0.567749083042145,1.38582575321198,0.647674918174744,0.32231205701828,1.33540797233582,0.562705278396606,0.514836013317108,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,10,31,62,0,5,0,9,4,18,7,0,10,2,3,2,2,21,5,13,3,43,22,3,62,5,10,22,0,0,1,1.54373955726624,0.642597079277039,0.77205353975296,1.66623306274414,0.412182927131653,0.567725419998169,1.38581943511963,0.647668361663818,0.322345495223999,1.33537721633911,0.562723100185394,0.51483553647995,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,10,29,54,0,11,0,8,5,16,10,0,11,2,4,1,4,23,9,15,3,36,20,2,62,3,17,22,3,0,0,1.54373955726624,0.642597079277039,0.77205353975296,1.66623306274414,0.412182927131653,0.567725419998169,1.38581943511963,0.647668361663818,0.322345495223999,1.33537721633911,0.562723100185394,0.51483553647995,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,11,29,57,0,9,0,10,3,17,5,0,12,2,4,2,2,23,4,13,3,42,23,7,63,3,12,22,4,0,0,1.54373705387115,0.642586767673492,0.772049963474274,1.66621971130371,0.41217651963234,0.567711293697357,1.38570642471313,0.647712290287018,0.322325110435486,1.33531427383423,0.562763512134552,0.51483017206192,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,9,31,52,1,8,0,11,10,19,3,1,12,2,2,2,1,25,9,13,8,42,21,3,64,0,14,20,2,0,0,1.54373705387115,0.642586767673492,0.772049963474274,1.66621971130371,0.41217651963234,0.567711293697357,1.38570642471313,0.647712290287018,0.322325110435486,1.33531427383423,0.562763512134552,0.51483017206192,16_Aug_2023_13_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
