S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,13,27,13,1,14,0,13,8,33,16,1,0,3,20,1,7,11,24,23,9,81,14,7,52,12,24,42,0,0,1,1.60716807842255,0.645452678203583,0.804634392261505,1.72453236579895,0.40278097987175,0.597207605838776,1.39702153205872,0.628375768661499,0.366844445466995,1.37451386451721,0.530467331409454,0.563467383384705,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,14,32,16,2,12,14,13,2,31,12,1,0,2,13,0,7,11,16,20,11,82,13,3,52,7,21,40,0,1,0,1.60716807842255,0.645452678203583,0.804634392261505,1.72453236579895,0.40278097987175,0.597207605838776,1.39702153205872,0.628375768661499,0.366844445466995,1.37451386451721,0.530467331409454,0.563467383384705,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,13,29,16,0,13,0,15,5,31,11,2,0,0,18,0,5,11,21,23,9,81,10,3,50,6,21,42,0,1,1,1.60717570781708,0.645469903945923,0.804579138755798,1.72453165054321,0.402781456708908,0.597205817699432,1.39710283279419,0.6284259557724,0.366801142692566,1.37448525428772,0.530642688274383,0.5634805560112,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,12,24,19,0,13,14,15,5,29,12,8,0,0,17,12,8,11,21,22,9,80,13,3,52,9,20,39,0,0,1,1.60717570781708,0.645469903945923,0.804579138755798,1.72453165054321,0.402781456708908,0.597205817699432,1.39710283279419,0.6284259557724,0.366801142692566,1.37448525428772,0.530642688274383,0.5634805560112,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,17,31,15,0,13,0,12,5,28,9,0,0,3,15,0,7,13,24,22,7,80,17,11,52,7,21,41,0,8,0,1.60723626613617,0.645492434501648,0.804626643657684,1.72454583644867,0.402762144804001,0.597192287445068,1.39716780185699,0.628418564796448,0.366812258958817,1.37447142601013,0.53080940246582,0.563492476940155,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,14,32,16,0,11,0,18,8,27,10,1,0,1,17,2,6,11,20,22,8,79,14,3,51,5,22,43,0,0,1,1.60728538036346,0.645498633384705,0.804644167423248,1.72453832626343,0.402779579162598,0.597194075584412,1.39729499816895,0.628446578979492,0.366784155368805,1.37445819377899,0.530972838401794,0.563507080078125,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,13,27,19,0,11,0,13,7,29,12,1,0,1,18,0,11,13,20,23,6,77,14,2,51,10,20,42,0,0,1,1.60728538036346,0.645498633384705,0.804644167423248,1.72453832626343,0.402779579162598,0.597194075584412,1.39729499816895,0.628446578979492,0.366784155368805,1.37445819377899,0.530972838401794,0.563507080078125,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,15,26,16,1,13,1,10,5,32,11,2,0,2,16,1,10,13,19,18,4,81,15,1,50,11,21,43,0,0,0,1.60732102394104,0.645522713661194,0.804646670818329,1.72453582286835,0.402786076068878,0.597204506397247,1.39735269546509,0.628600537776947,0.366791784763336,1.37445473670959,0.531136035919189,0.563528716564178,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,14,28,15,0,11,0,16,6,32,7,0,0,1,18,9,10,13,20,19,11,80,12,2,55,6,19,41,0,1,0,1.60732102394104,0.645522713661194,0.804646670818329,1.72453582286835,0.402786076068878,0.597204506397247,1.39735269546509,0.628600537776947,0.366791784763336,1.37445473670959,0.531136035919189,0.563528716564178,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,17,30,13,0,11,0,15,5,31,10,1,0,1,17,1,8,11,20,25,7,83,13,3,53,5,20,47,0,7,14,1.60735726356506,0.64554637670517,0.804649472236633,1.72454404830933,0.402797400951386,0.59721827507019,1.39750123023987,0.628607988357544,0.366769999265671,1.37445676326752,0.531292080879211,0.563540279865265,16_Aug_2023_13_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
