S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,
7,15,3,1,1,2,30,18,32,5,13,12,0,1,4,1,2,2,13,36,0,1,13,54,8,0,95,8,25,103,2,21,-0.996094048,0.637548983,-0.162378326,-1.16559875,0.44429484,-0.002480354,-1.036895514,0.640918016,0.350906104,-0.950123727,0.59574461,0.148589298,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
5,0,6,0,6,5,29,18,34,5,11,13,0,3,2,0,2,3,14,37,0,0,13,58,6,1,93,4,20,101,7,23,-0.996104836,0.637546718,-0.162372097,-1.16559875,0.444299519,-0.00247155,-1.036944985,0.640943348,0.350878686,-0.950108826,0.59576869,0.14857845,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,1,3,0,2,5,27,18,41,5,16,13,3,3,3,0,1,0,15,36,0,0,14,49,10,4,92,14,23,96,5,23,-0.996104836,0.637546718,-0.162372097,-1.16559875,0.444299519,-0.00247155,-1.036944985,0.640943348,0.350878686,-0.950108826,0.59576869,0.14857845,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,0,3,0,2,2,27,18,36,7,15,13,3,6,6,1,1,0,16,34,1,0,18,55,7,1,93,3,23,97,8,21,-0.996121168,0.637549758,-0.162373587,-1.165594339,0.444301963,-0.002458517,-1.036961436,0.641024947,0.350831151,-0.950106859,0.595803857,0.148565948,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
8,1,0,1,2,2,30,13,38,7,14,11,1,4,1,0,4,2,16,37,0,0,15,57,9,3,91,0,20,97,1,21,-0.996121168,0.637549758,-0.162373587,-1.165594339,0.444301963,-0.002458517,-1.036961436,0.641024947,0.350831151,-0.950106859,0.595803857,0.148565948,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
14,0,3,0,3,3,35,17,31,6,13,10,1,2,0,2,1,2,15,41,0,1,15,57,9,2,91,1,20,100,2,23,-0.9961375,0.637557387,-0.162374914,-1.165598273,0.44430235,-0.002434291,-1.03700006,0.641147435,0.350803107,-0.95020324,0.595855415,0.148602337,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,1,1,12,11,4,35,17,34,8,13,9,1,3,3,5,6,3,15,38,0,0,15,56,9,2,92,1,19,101,2,21,-0.9961375,0.637557387,-0.162374914,-1.165598273,0.44430235,-0.002434291,-1.03700006,0.641147435,0.350803107,-0.95020324,0.595855415,0.148602337,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
8,0,2,0,3,3,31,16,35,6,12,11,1,2,1,3,2,11,19,40,1,0,15,57,9,3,91,1,27,105,1,23,-0.996147037,0.637572348,-0.162379801,-1.165600419,0.444296777,-0.002422852,-1.037079096,0.641344666,0.350782961,-0.950187325,0.595901966,0.148586497,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,1,2,11,0,4,34,18,31,4,15,12,8,2,8,2,2,5,15,36,14,1,17,54,9,2,89,11,27,106,2,20,-0.996147037,0.637572348,-0.162379801,-1.165600419,0.444296777,-0.002422852,-1.037079096,0.641344666,0.350782961,-0.950187325,0.595901966,0.148586497,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,7,3,0,3,5,30,14,33,7,14,11,0,3,11,3,3,3,16,41,0,5,17,56,9,4,92,2,23,100,1,22,-0.996160209,0.637592256,-0.162379935,-1.165601492,0.444292098,-0.002413822,-1.036940575,0.64171499,0.35108757,-0.95019412,0.595950067,0.14857778,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
11,0,3,0,0,6,34,16,34,6,15,16,2,1,1,3,4,3,16,38,0,4,17,51,10,2,87,2,23,95,1,25,-0.996181965,0.63760823,-0.162377968,-1.165606737,0.444283992,-0.002404467,-1.037277699,0.641733289,0.350995868,-0.950228453,0.59599793,0.148573503,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,8,3,0,0,5,34,18,38,9,12,13,13,1,5,3,3,4,14,36,0,1,16,53,11,2,91,1,24,100,3,24,-0.996181965,0.63760823,-0.162377968,-1.165606737,0.444283992,-0.002404467,-1.037277699,0.641733289,0.350995868,-0.950228453,0.59599793,0.148573503,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,0,2,15,3,5,31,17,33,4,15,13,2,8,0,3,3,6,16,41,0,1,13,55,11,2,91,1,22,98,1,25,-0.996192873,0.637625039,-0.162380934,-1.165607452,0.444275826,-0.002396723,-1.037323713,0.641809881,0.350913674,-0.950273752,0.59603858,0.148572907,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,0,3,0,7,7,26,16,31,5,13,13,1,5,2,7,2,3,15,40,0,0,16,54,10,4,92,1,24,98,0,21,-0.996192873,0.637625039,-0.162380934,-1.165607452,0.444275826,-0.002396723,-1.037323713,0.641809881,0.350913674,-0.950273752,0.59603858,0.148572907,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
9,0,0,0,2,5,20,16,33,10,17,13,2,2,5,3,2,5,17,37,0,0,16,57,9,4,92,0,23,99,1,19,-0.996204853,0.637630582,-0.162375122,-1.165608287,0.444274634,-0.00237898,-1.037492275,0.641879439,0.350738376,-0.950331271,0.596068442,0.148554206,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
7,0,3,1,2,8,23,17,34,12,15,8,9,2,2,4,3,3,15,36,1,1,17,52,9,2,91,4,23,97,0,21,-0.996204853,0.637630582,-0.162375122,-1.165608287,0.444274634,-0.00237898,-1.037492275,0.641879439,0.350738376,-0.950331271,0.596068442,0.148554206,02_Aug_2023_11_46,,,,,,,,,,,,,,,,,,,
