time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,P1,P2,P3,P4,P5,F1,F2,F3,F4,B1,B2,B3,S1,S2,class
81.86,5.85,-0.4,0.67,-0.22,0.85,0.47,-0.21,0.14,-0.43,0,0,0,0,0,666,879,671,671,0,61,600,333,156,1
81.96,1.61,-1.73,1.86,-0.21,0.86,0.43,-0.22,0.14,-0.43,0,0,0,0,0,666,878,671,670,0,60,601,333,157,1
82.07,0.16,1.03,1.39,-0.21,0.84,0.45,-0.21,0.14,-0.43,0,0,0,0,0,668,879,673,675,0,61,601,334,156,1
82.17,6.09,0.25,0.78,-0.22,0.86,0.44,-0.22,0.14,-0.43,0,0,0,0,0,666,879,672,675,0,61,601,333,157,1
82.28,1.69,-2.59,0.11,-0.22,0.82,0.48,-0.21,0.14,-0.43,0,0,0,0,0,666,880,672,674,0,61,601,333,157,1
82.39,6.87,2.56,1.76,-0.18,0.87,0.45,-0.21,0.14,-0.43,0,0,0,0,0,667,881,672,674,0,61,601,334,156,1
82.49,3.34,0.11,2.25,-0.25,0.87,0.38,-0.21,0.14,-0.43,0,0,0,0,0,666,878,670,670,0,59,600,334,156,1
82.6,9.32,12.31,9.51,-0.19,0.82,0.52,-0.21,0.15,-0.43,0,0,0,0,0,667,880,673,671,0,60,602,330,157,1
82.7,-0.67,0.08,2.11,-0.21,0.84,0.5,-0.21,0.15,-0.43,0,0,0,0,0,666,880,672,672,0,60,601,327,156,1
82.81,2.56,1,2.53,-0.23,0.83,0.46,-0.21,0.14,-0.43,0,0,0,0,0,667,879,673,671,0,60,601,330,156,1
82.91,5.19,-1.15,-0.07,-0.22,0.83,0.44,-0.21,0.15,-0.43,0,0,0,1,0,667,879,673,675,0,61,600,329,157,1
83.02,6.76,-2.84,-2.75,-0.21,0.83,0.49,-0.21,0.15,-0.43,0,0,0,0,0,667,880,672,676,0,60,602,329,157,1
83.12,2.02,-1.51,-1.78,-0.21,0.86,0.47,-0.22,0.15,-0.43,0,0,0,0,0,667,880,673,676,0,61,602,329,156,1
83.23,7.45,-3.7,1.47,-0.22,0.83,0.49,-0.21,0.15,-0.43,0,0,0,0,0,666,881,673,675,0,60,601,332,157,1
83.33,0.75,2.45,4.08,-0.23,0.86,0.43,-0.22,0.15,-0.42,0,0,0,0,0,667,878,671,671,0,60,601,333,156,1
83.44,3.26,11.62,5.12,-0.2,0.78,0.51,-0.21,0.15,-0.44,0,0,0,0,0,667,881,674,675,0,62,601,329,155,1
83.55,7.62,-5.09,0.93,-0.22,0.82,0.51,-0.2,0.15,-0.43,0,0,0,0,0,667,881,674,675,0,61,603,330,156,1
83.65,7.09,0.13,1.46,-0.23,0.85,0.48,-0.21,0.15,-0.44,1,0,0,0,0,666,879,672,671,0,62,601,332,158,1
83.76,2.56,-3.12,1.15,-0.2,0.84,0.46,-0.21,0.15,-0.43,0,0,0,0,0,667,881,674,677,0,62,602,333,157,1
83.86,1.79,1.08,1.37,-0.21,0.86,0.43,-0.21,0.15,-0.43,0,0,0,0,0,666,880,673,676,1,61,601,334,157,1
83.97,3.82,0.8,1.82,-0.22,0.83,0.48,-0.21,0.15,-0.43,0,0,0,0,0,667,879,674,675,0,62,601,332,157,1
84.07,1.89,0.18,0.76,-0.21,0.84,0.47,-0.2,0.15,-0.43,0,0,0,0,0,667,880,674,676,0,62,601,332,157,1
84.18,5.09,-0.42,1.76,-0.22,0.84,0.46,-0.21,0.14,-0.43,0,0,0,1,0,666,880,673,675,0,62,601,332,156,1
84.29,2.67,1.07,1.09,-0.21,0.83,0.48,-0.21,0.14,-0.44,0,0,0,0,0,666,880,673,674,0,62,601,332,157,1
84.39,1.49,0.31,0.45,-0.21,0.85,0.45,-0.21,0.14,-0.43,0,0,0,0,0,668,879,673,673,0,62,601,332,157,1
84.5,2.38,-0.31,0.44,-0.22,0.87,0.45,-0.21,0.15,-0.43,0,0,0,0,0,665,880,672,671,0,62,601,333,157,1
84.6,2,-1.7,1.75,-0.22,0.84,0.47,-0.21,0.14,-0.43,0,0,0,0,0,666,878,672,670,0,62,600,335,158,1
84.71,-3.33,-1.15,0.38,-0.21,0.84,0.46,-0.21,0.14,-0.43,0,0,0,0,0,666,879,674,674,0,63,601,335,157,1
84.81,2.2,-0.61,1.1,-0.22,0.85,0.45,-0.2,0.14,-0.43,0,0,0,0,0,666,880,673,674,0,62,602,335,157,1
84.92,1.32,0.12,1.06,-0.22,0.82,0.47,-0.21,0.14,-0.43,0,0,0,0,0,669,879,673,675,0,62,601,336,157,1
85.02,0.51,-0.14,0.18,-0.2,0.86,0.45,-0.21,0.14,-0.43,0,0,0,0,0,668,880,674,673,0,62,601,335,157,1
85.13,4.75,-1.54,2.28,-0.22,0.86,0.45,-0.21,0.14,-0.43,0,0,0,0,0,666,877,673,673,0,63,601,336,157,1
85.24,0.74,-0.81,0.28,-0.21,0.84,0.45,-0.21,0.14,-0.43,0,0,0,0,0,666,879,672,670,0,63,601,336,157,1
85.34,6.61,1.25,2.28,-0.22,0.84,0.44,-0.21,0.14,-0.43,0,0,0,0,0,666,879,671,669,0,63,600,334,157,1
85.45,4.66,0.04,0.25,-0.22,0.84,0.49,-0.21,0.14,-0.43,1,0,0,0,0,666,879,672,670,0,62,601,334,157,1
85.55,2.7,-1.9,0.4,-0.22,0.85,0.45,-0.22,0.15,-0.43,0,0,0,0,0,665,879,672,671,0,62,602,335,158,1
85.66,4.54,-1.65,1.25,-0.21,0.85,0.45,-0.22,0.15,-0.43,0,0,0,0,0,667,880,674,672,0,62,602,335,157,1
85.76,0.49,-0.54,0.14,-0.22,0.85,0.47,-0.22,0.14,-0.43,0,0,0,0,0,667,880,673,674,0,63,602,335,158,1
85.87,0.16,-0.6,0.17,-0.22,0.87,0.42,-0.22,0.14,-0.43,0,0,0,0,0,665,880,673,674,0,61,601,334,157,1
85.97,5.22,-0.89,1.82,-0.2,0.85,0.44,-0.22,0.15,-0.42,0,0,0,0,0,666,880,672,673,0,62,601,334,157,1
86.08,3.29,-0.65,2.28,-0.22,0.85,0.46,-0.22,0.15,-0.43,0,0,0,0,0,666,879,670,674,0,62,601,336,158,1
86.19,5.36,-0.38,2.22,-0.21,0.84,0.46,-0.21,0.14,-0.43,0,0,0,1,0,666,880,672,673,0,62,601,334,157,1
86.29,3.76,-1.31,1.09,-0.21,0.81,0.47,-0.21,0.14,-0.43,0,0,0,0,0,666,879,671,673,0,62,601,334,158,1
86.4,0.88,0.4,0.17,-0.21,0.85,0.47,-0.21,0.14,-0.42,0,0,0,0,0,665,879,671,670,0,63,600,335,157,1
86.5,1.74,0.74,0.69,-0.22,0.86,0.42,-0.21,0.14,-0.43,0,0,0,0,0,667,879,672,671,0,63,601,334,157,1
86.61,2.93,-0.49,1.21,-0.21,0.84,0.46,-0.21,0.14,-0.43,0,0,0,0,0,668,880,673,675,0,62,602,335,157,1
86.71,3.61,-1.3,1.35,-0.22,0.82,0.48,-0.22,0.14,-0.43,0,0,0,0,0,668,880,673,674,0,63,602,335,158,1
86.82,1.14,0.14,0.36,-0.21,0.86,0.44,-0.21,0.14,-0.43,0,0,0,0,0,666,880,673,675,0,64,602,335,158,1
86.93,5.1,-0.6,1.42,-0.22,0.85,0.45,-0.21,0.14,-0.43,0,0,0,0,0,666,880,673,674,0,63,601,335,158,1
