S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MWx,MWy,MWz,MSx,MSy,MSz,MCx,MCy,MCz,MEx,MEy,MEz,session_time_stamp
26,47,13,0,11,1,1,14,3,2,1,7,2,1,0,9,9,24,22,1,8,28,6,20,22,1,3,0,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
23,43,10,0,15,0,3,0,6,2,0,11,7,2,0,6,9,24,20,1,12,29,5,19,19,1,0,0,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
27,48,9,0,9,3,2,0,3,2,1,8,1,3,1,0,13,20,17,7,7,28,8,20,21,0,0,1,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
25,45,9,1,11,0,2,9,7,0,0,5,2,2,11,2,6,16,23,6,10,30,8,20,21,0,0,2,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
25,43,11,0,5,0,6,1,6,0,1,6,2,3,0,0,7,22,24,4,7,31,6,14,21,0,0,0,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
27,49,10,7,9,0,1,0,8,5,2,8,1,0,1,1,7,18,20,1,7,32,6,23,23,0,0,0,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
27,50,10,0,12,1,3,1,9,9,2,5,2,7,2,0,6,19,23,7,7,31,10,18,22,0,1,0,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
25,46,11,0,10,2,2,0,9,0,0,6,1,0,1,0,12,21,22,2,6,32,7,21,22,1,0,0,0.0769251137971878,-0.171822443604469,0.126800462603569,-0.18712705373764,-0.331611633300781,0.576351702213287,0.0101455133408308,-0.457220196723938,0.308123469352722,-0.0903652086853981,-0.143356636166572,0.241754323244095,29_Jan_2024_11_15
24,46,9,1,9,0,0,0,6,1,3,6,2,3,4,6,6,23,23,15,5,31,7,20,22,1,1,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
25,49,12,0,10,0,3,2,12,3,1,7,1,2,1,1,4,22,23,7,6,32,12,21,22,0,0,2,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
29,49,9,1,11,0,0,0,7,3,3,7,0,4,0,0,6,19,23,12,8,32,9,22,23,0,1,0,0.0769228562712669,-0.17182731628418,0.12680147588253,-0.187153577804565,-0.331602364778519,0.576346576213837,0.0101243304088711,-0.457217544317246,0.308124035596847,-0.090375006198883,-0.143361002206802,0.241752162575722,29_Jan_2024_11_15
