S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
0,0,10,5,129,25,0,16,2,127,11,23,3,13,202,18,-0.741241157,0.40702641,-0.004378979,-1.004897475,0.130656093,-0.003027799,-0.793870986,0.6323421,0.190801829,-0.990827262,0.309410304,0.13612105,28_Jun_2023_08_53
0,8,10,4,123,25,4,22,5,121,12,24,0,19,201,16,-0.741241157,0.40702641,-0.004378979,-1.004897475,0.130656093,-0.003027799,-0.793870986,0.6323421,0.190801829,-0.990827262,0.309410304,0.13612105,28_Jun_2023_08_53
0,0,12,13,120,16,2,23,3,128,11,23,3,16,205,18,-0.741241157,0.40702641,-0.004378979,-1.004897475,0.130656093,-0.003027799,-0.793870986,0.6323421,0.190801829,-0.990827262,0.309410304,0.13612105,28_Jun_2023_08_53
0,0,12,9,127,20,3,23,6,131,12,23,0,15,206,18,-0.741241157,0.40702641,-0.004378979,-1.004897475,0.130656093,-0.003027799,-0.793870986,0.6323421,0.190801829,-0.990827262,0.309410304,0.13612105,28_Jun_2023_08_53
0,14,7,9,126,21,1,24,5,129,14,25,5,14,206,18,-0.741241157,0.40702641,-0.004378979,-1.004897475,0.130656093,-0.003027799,-0.793870986,0.6323421,0.190801829,-0.990827262,0.309410304,0.13612105,28_Jun_2023_08_53
0,0,7,11,123,18,3,23,6,125,17,24,4,15,204,19,-0.741212249,0.407022148,-0.004384118,-1.004897118,0.130624235,-0.003076191,-0.793898582,0.632346332,0.19075188,-0.990838408,0.309386104,0.136046097,28_Jun_2023_08_53
0,1,9,5,126,24,3,24,5,125,15,23,10,16,211,16,-0.741212249,0.407022148,-0.004384118,-1.004897118,0.130624235,-0.003076191,-0.793898582,0.632346332,0.19075188,-0.990838408,0.309386104,0.136046097,28_Jun_2023_08_53
0,0,9,4,123,18,3,22,6,128,10,25,4,17,164,17,-0.741156101,0.407007754,-0.004401959,-1.004885554,0.130563483,-0.003178064,-0.793945491,0.632335544,0.190668926,-0.990827799,0.309339017,0.135888338,28_Jun_2023_08_53
0,1,9,8,128,23,3,19,4,123,11,23,7,16,158,18,-0.741156101,0.407007754,-0.004401959,-1.004885554,0.130563483,-0.003178064,-0.793945491,0.632335544,0.190668926,-0.990827799,0.309339017,0.135888338,28_Jun_2023_08_53
1,0,6,6,127,23,5,20,5,123,11,19,5,17,156,20,-0.741156101,0.407007754,-0.004401959,-1.004885554,0.130563483,-0.003178064,-0.793945491,0.632335544,0.190668926,-0.990827799,0.309339017,0.135888338,28_Jun_2023_08_53
0,0,10,7,125,22,2,19,2,124,17,23,4,15,159,16,-0.741156101,0.407007754,-0.004401959,-1.004885554,0.130563483,-0.003178064,-0.793945491,0.632335544,0.190668926,-0.990827799,0.309339017,0.135888338,28_Jun_2023_08_53
0,0,12,5,123,23,0,20,8,123,13,20,5,15,152,18,-0.741128743,0.406994671,-0.004414693,-1.004867315,0.13051942,-0.003232075,-0.793966293,0.632314444,0.190780178,-0.990808368,0.309323698,0.135823607,28_Jun_2023_08_53
1,0,8,7,125,22,2,20,7,128,16,17,3,15,148,17,-0.741128743,0.406994671,-0.004414693,-1.004867315,0.13051942,-0.003232075,-0.793966293,0.632314444,0.190780178,-0.990808368,0.309323698,0.135823607,28_Jun_2023_08_53
0,0,11,1,122,19,0,21,5,125,16,19,4,17,150,17,-0.741099656,0.406976342,-0.004438426,-1.004852772,0.130487874,-0.003281547,-0.794021308,0.632281542,0.190732405,-0.990794539,0.309300184,0.135757267,28_Jun_2023_08_53
0,1,5,6,126,19,4,24,9,123,15,20,4,16,132,17,-0.741099656,0.406976342,-0.004438426,-1.004852772,0.130487874,-0.003281547,-0.794021308,0.632281542,0.190732405,-0.990794539,0.309300184,0.135757267,28_Jun_2023_08_53
16,0,9,1,129,20,4,23,1,119,14,20,4,12,136,18,-0.741099656,0.406976342,-0.004438426,-1.004852772,0.130487874,-0.003281547,-0.794021308,0.632281542,0.190732405,-0.990794539,0.309300184,0.135757267,28_Jun_2023_08_53
1,0,12,7,129,27,7,22,7,127,16,20,5,14,174,16,-0.741066635,0.40695709,-0.004463625,-1.004829884,0.13045983,-0.003342236,-0.793986917,0.632064581,0.190786988,-0.990793049,0.30927676,0.135681853,28_Jun_2023_08_53
1,1,9,5,123,24,4,18,4,121,16,20,4,10,144,16,-0.741066635,0.40695709,-0.004463625,-1.004829884,0.13045983,-0.003342236,-0.793986917,0.632064581,0.190786988,-0.990793049,0.30927676,0.135681853,28_Jun_2023_08_53
0,0,10,4,130,19,4,22,1,122,16,19,4,10,144,19,-0.741066635,0.40695709,-0.004463625,-1.004829884,0.13045983,-0.003342236,-0.793986917,0.632064581,0.190786988,-0.990793049,0.30927676,0.135681853,28_Jun_2023_08_53
2,3,8,4,127,22,2,19,6,120,17,19,3,16,139,17,-0.741066635,0.40695709,-0.004463625,-1.004829884,0.13045983,-0.003342236,-0.793986917,0.632064581,0.190786988,-0.990793049,0.30927676,0.135681853,28_Jun_2023_08_53
