S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp,,,,,,,,,,,,,,,,,,,,,,,,
7,3,5,43,11,0,6,1,9,1,43,4,0,4,1,2,0,11,8,14,24,9,51,30,1,87,9,12,27,8,2,1,1.55717813968658,0.647264540195465,0.725727081298828,1.6461660861969,0.413142412900925,0.51285195350647,1.17509818077087,0.546431422233582,0.417831242084503,1.25049650669098,0.49287337064743,0.621980905532837,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
6,3,3,45,12,0,3,0,9,0,42,1,0,0,0,0,0,10,9,16,18,7,50,22,5,87,10,15,23,9,0,0,1.55714058876038,0.647325098514557,0.725484728813171,1.64596033096313,0.413150697946548,0.512608766555786,1.1709588766098,0.546754121780396,0.422780156135559,1.24962043762207,0.493027567863464,0.625487804412842,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,1,6,45,9,0,8,0,10,1,43,4,1,0,0,1,0,12,11,13,19,6,44,30,1,86,7,13,28,8,3,0,1.55710482597351,0.647391140460968,0.72513622045517,1.64554166793823,0.412998378276825,0.512448906898499,1.16531896591187,0.547106087207794,0.429601401090622,1.24846720695496,0.493045687675476,0.630321681499481,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
8,2,0,48,12,0,9,4,7,1,41,7,0,2,0,3,0,11,7,11,19,7,50,26,5,88,7,15,27,9,1,1,1.55707144737244,0.647501051425934,0.724876582622528,1.64526093006134,0.412977129220962,0.512096464633942,1.16002118587494,0.547376215457916,0.436741381883621,1.24738776683807,0.492853730916977,0.635351419448853,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
7,1,3,49,11,0,8,1,8,7,40,2,0,0,5,4,1,8,11,12,14,9,51,27,0,87,8,19,26,9,7,0,1.55703938007355,0.647675037384033,0.724547445774078,1.64497649669647,0.41286638379097,0.511934697628021,1.15445101261139,0.54764723777771,0.443910658359528,1.24639618396759,0.49271759390831,0.64044463634491,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
4,3,4,48,11,0,9,4,7,3,40,4,3,0,1,10,1,10,11,15,19,4,50,25,1,87,7,11,27,10,0,0,1.5570160150528,0.647756278514862,0.724297165870667,1.64479577541351,0.41288897395134,0.511582553386688,1.15064132213593,0.547737181186676,0.449136286973953,1.24586200714111,0.49250990152359,0.644114136695862,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
9,3,4,51,9,0,9,0,7,12,47,4,0,7,0,2,0,14,9,14,20,7,49,25,1,88,11,17,28,8,0,0,1.55707275867462,0.647850275039673,0.7240149974823,1.64449489116669,0.413038462400436,0.511024236679077,1.14665579795837,0.547927498817444,0.455967217683792,1.24531447887421,0.49235075712204,0.648889064788818,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
9,1,3,49,8,0,9,0,12,0,48,5,0,3,1,4,2,16,14,13,21,6,49,31,1,83,14,14,28,10,1,1,1.55710065364838,0.647907733917236,0.723695695400238,1.64412796497345,0.413021862506866,0.510782182216644,1.14253354072571,0.54804539680481,0.463012635707855,1.24479115009308,0.492136180400848,0.65367978811264,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
8,1,3,47,12,0,10,0,10,3,45,2,1,3,0,0,1,13,13,14,19,7,47,31,0,84,6,11,26,11,0,0,1.55717885494232,0.648001253604889,0.723481714725494,1.64374053478241,0.413043916225433,0.510466396808624,1.13851761817932,0.548019409179688,0.470097899436951,1.24341881275177,0.49151024222374,0.658433675765991,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
9,6,3,43,10,0,3,0,14,1,42,0,1,6,0,2,1,13,13,14,18,4,45,24,0,89,9,14,27,6,1,1,1.55725419521332,0.648081958293915,0.723304927349091,1.64331483840942,0.413034290075302,0.510231137275696,1.13276183605194,0.548546314239502,0.478272646665573,1.2421315908432,0.491308003664017,0.662818372249603,16_Aug_2023_12_46,,,,,,,,,,,,,,,,,,,,,,,,
