S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
0,37,1,1,103,15,317,1,21,194,3,64,0,60,1,92,8,31,11,13,12,3,6,199,19,238,1,159,215,-1.50360774993896,0.176961094141007,0.453915894031525,-1.81344127655029,0.187407240271568,0.437675148248673,-1.57418155670166,0.536323666572571,0.389986246824264,-1.77935767173767,0.306174457073212,0.559110522270203,14_Jun_2023_08:30
2,30,0,1,96,17,319,1,24,203,3,66,1,65,0,94,7,20,9,13,9,2,9,206,24,238,4,158,217,-1.50377726554871,0.176924392580986,0.453977733850479,-1.81343364715576,0.187181577086449,0.437642186880112,-1.57450437545776,0.536139249801636,0.38946458697319,-1.77970898151398,0.306297808885574,0.558770596981049,14_Jun_2023_08:30
1,33,2,1,102,17,317,2,26,205,3,65,2,63,1,96,7,16,10,16,9,0,3,211,20,244,1,158,223,-1.50361764431,0.176897019147873,0.454814076423645,-1.81335997581482,0.187184065580368,0.437580704689026,-1.5744069814682,0.53587144613266,0.389724552631378,-1.77984797954559,0.306281685829163,0.558800458908081,14_Jun_2023_08:30
0,32,2,1,98,15,314,0,22,211,7,66,2,65,1,103,10,18,6,11,9,1,5,209,18,242,3,156,223,-1.50299000740051,0.176546841859818,0.454958558082581,-1.81299912929535,0.187120124697685,0.437570095062256,-1.57427942752838,0.535422503948212,0.38988584280014,-1.77958834171295,0.305800050497055,0.559166371822357,14_Jun_2023_08:30
0,33,1,2,102,15,315,1,22,207,5,67,1,67,0,98,8,23,11,13,9,0,5,212,25,241,1,159,225,-1.50246822834015,0.176629111170769,0.45525386929512,-1.81274557113647,0.187015622854233,0.437672704458237,-1.57383465766907,0.535556256771088,0.390269070863724,-1.77912068367004,0.305775254964828,0.559190392494202,14_Jun_2023_08:30
1,35,0,1,100,22,316,1,26,222,8,68,1,65,1,99,5,27,7,14,9,0,15,207,24,245,20,170,227,-1.50149571895599,0.177192389965057,0.455038845539093,-1.81214547157288,0.186894863843918,0.43753308057785,-1.57240700721741,0.536518812179565,0.390628308057785,-1.77786147594452,0.306108862161636,0.558648228645325,14_Jun_2023_08:30
0,36,1,1,122,14,343,1,42,216,7,69,0,66,0,97,4,52,23,16,11,1,11,173,24,195,13,174,223,-1.49962532520294,0.179991289973259,0.45423436164856,-1.81182861328125,0.187568664550781,0.435824483633041,-1.56832754611969,0.540340065956116,0.391300439834595,-1.77657639980316,0.30855855345726,0.55602240562439,14_Jun_2023_08:30
0,31,0,0,91,17,321,1,35,192,4,63,2,62,1,97,2,57,19,17,9,1,16,182,28,176,14,173,235,-1.49699199199677,0.1835897564888,0.455713272094727,-1.81190538406372,0.187802508473396,0.435402870178223,-1.56599307060242,0.545061111450195,0.397875875234604,-1.7771543264389,0.309132754802704,0.555889666080475,14_Jun_2023_08:30
1,31,1,1,93,17,319,1,38,206,7,66,0,65,1,101,1,60,20,16,14,1,16,177,29,186,18,170,236,-1.49146282672882,0.186923578381538,0.456660538911819,-1.81083512306213,0.186964437365532,0.436364054679871,-1.5640070438385,0.547297298908234,0.404422640800476,-1.77574741840363,0.307350069284439,0.557994246482849,14_Jun_2023_08:30
0,30,1,1,104,20,320,0,29,213,6,68,0,73,1,99,1,73,17,24,14,1,19,182,27,183,24,175,223,-1.48931729793549,0.188788220286369,0.460391819477081,-1.81001627445221,0.187598899006844,0.43509766459465,-1.55633270740509,0.550215542316437,0.40793389081955,-1.77304565906525,0.309373289346695,0.55572497844696,14_Jun_2023_08:30
0,31,0,1,96,14,321,1,24,197,4,62,0,67,0,95,3,61,18,21,13,0,19,174,26,170,24,175,223,-1.48681807518005,0.189531221985817,0.459577947854996,-1.80887877941132,0.187227472662926,0.434328705072403,-1.5523738861084,0.55158919095993,0.409389495849609,-1.77119553089142,0.309923589229584,0.554031312465668,14_Jun_2023_08:30
1,46,1,0,94,18,322,1,26,197,4,66,0,69,0,97,1,60,16,21,13,1,18,178,27,177,21,174,225,-1.48358285427094,0.19159446656704,0.455336481332779,-1.80746042728424,0.186934277415276,0.433736771345139,-1.55048704147339,0.553858995437622,0.410779476165772,-1.76868140697479,0.309945106506348,0.55339503288269,14_Jun_2023_08:30
2,45,1,1,98,20,325,0,23,204,4,63,1,74,1,98,1,69,12,22,14,0,17,193,25,188,20,175,224,-1.48218035697937,0.192678034305573,0.454514563083649,-1.80643939971924,0.186959162354469,0.434037178754807,-1.5494978427887,0.555707693099976,0.413705438375473,-1.76641583442688,0.309424489736557,0.55407190322876,14_Jun_2023_08:30
1,36,0,1,102,16,340,1,35,220,8,68,3,78,0,100,3,71,13,23,11,1,18,198,27,188,18,176,230,-1.48202002048492,0.191898480057716,0.455447256565094,-1.80584478378296,0.186582997441292,0.435400247573852,-1.55076229572296,0.55500602722168,0.415739357471466,-1.76534175872803,0.30764639377594,0.556414842605591,14_Jun_2023_08:30
2,33,1,0,103,17,338,1,37,214,5,69,0,74,0,101,8,58,14,27,12,1,20,198,26,181,22,179,225,-1.48167431354523,0.192525342106819,0.455416172742844,-1.80608415603638,0.186888247728348,0.434984415769577,-1.55061066150665,0.555740356445313,0.416902780532837,-1.76582419872284,0.308147341012955,0.556111574172974,14_Jun_2023_08:30
0,37,0,0,93,21,327,1,37,199,8,65,0,73,0,96,8,55,12,19,11,0,22,201,28,183,11,171,227,-1.48008251190186,0.192606538534164,0.453536659479141,-1.8058797121048,0.18669456243515,0.434303402900696,-1.54982495307922,0.555674195289612,0.414370983839035,-1.76583254337311,0.308682173490524,0.554583430290222,14_Jun_2023_08:30
0,43,1,0,85,21,312,1,37,199,4,63,1,75,0,94,8,60,11,19,13,2,16,200,26,189,11,171,232,-1.47871267795563,0.192025706171989,0.452279984951019,-1.80558240413666,0.186691746115685,0.433407664299011,-1.54873871803284,0.554902076721191,0.411295592784882,-1.76547276973724,0.309298068284988,0.55312705039978,14_Jun_2023_08:30
1,49,1,1,88,23,315,2,34,195,8,65,0,74,0,93,9,73,13,19,14,1,20,194,22,190,15,166,232,-1.47746992111206,0.191971018910408,0.452217847108841,-1.80516409873962,0.186634212732315,0.433322370052338,-1.54775166511536,0.55474054813385,0.410522848367691,-1.76450753211975,0.309356987476349,0.552807927131653,14_Jun_2023_08:30
