S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,M1x,M1y,M1z,M2x,M2y,M2z,M3x,M3y,M3z,M4x,M4y,M4z,sesion_time_stamp
1,3,1,2,0,1,1,3,7,3,1,26,1,42,2,1,4,3,0,1,5,5,1,14,30,1,1,3,4,-1.38477206230164,0.207212820649147,0.722645163536072,-1.6791535615921,0.110679425299168,1.03528654575348,-2.19196438789368,0.032689705491066,1.44719743728638,-1.55776751041412,0.237471252679825,0.998228907585144,14_Jun_2023_08_35
1,2,3,0,2,1,0,3,5,2,0,25,0,43,0,1,6,1,0,1,4,2,0,16,32,1,0,3,3,-1.38077771663666,0.204395085573196,0.722308099269867,-1.67844367027283,0.110401175916195,1.03518438339233,-2.19195222854614,0.032725144177675,1.44722807407379,-1.55576074123383,0.235940217971802,0.998989343643188,14_Jun_2023_08_35
2,3,1,2,2,2,0,2,6,2,0,26,0,43,1,1,5,2,0,0,4,0,1,17,29,0,0,4,4,-1.37433850765228,0.201477900147438,0.721777141094208,-1.67664706707001,0.109713979065418,1.03514397144318,-2.1919481754303,0.032748263329268,1.44721055030823,-1.55139565467834,0.233391046524048,1.00003802776337,14_Jun_2023_08_35
1,1,0,2,1,1,1,3,5,3,0,25,1,43,3,2,4,3,1,1,4,0,0,17,29,2,1,3,4,-1.36652433872223,0.198800846934319,0.719469904899597,-1.67463994026184,0.109224997460842,1.03469395637512,-2.19199013710022,0.032708633691073,1.44720876216888,-1.54586470127106,0.230396747589111,1.00069439411163,14_Jun_2023_08_35
6,3,1,2,0,1,0,3,7,5,1,26,0,43,2,2,6,2,1,1,3,3,1,16,30,1,0,6,4,-1.3608078956604,0.197676986455917,0.716786682605743,-1.67323124408722,0.109020859003067,1.03397512435913,-2.19194459915161,0.032775796949864,1.44720280170441,-1.54186952114105,0.228295341134071,1.00106239318848,14_Jun_2023_08_35
1,3,0,2,1,0,1,7,9,4,0,24,0,41,2,1,7,3,0,1,2,0,2,17,30,1,1,4,3,-1.35914075374603,0.197732105851173,0.715096414089203,-1.67278158664703,0.108908154070377,1.03356420993805,-2.19194674491882,0.032738819718361,1.44717085361481,-1.54060685634613,0.227494239807129,1.00070106983185,14_Jun_2023_08_35
1,2,0,1,1,1,0,6,10,3,1,27,0,41,1,2,4,2,1,0,5,1,0,13,30,1,1,5,4,-1.36084294319153,0.19879125058651,0.715445339679718,-1.67299854755402,0.108988903462887,1.03374660015106,-2.19195580482483,0.032748233526945,1.44719481468201,-1.54116928577423,0.228143259882927,1.00098705291748,14_Jun_2023_08_35
2,1,2,0,1,1,1,5,5,3,1,23,1,41,2,2,4,3,2,1,5,0,0,16,29,2,0,3,4,-1.36425530910492,0.199818938970566,0.714733064174652,-1.67478239536285,0.109594523906708,1.03288865089417,-2.19195294380188,0.032745648175478,1.44715189933777,-1.54532814025879,0.230461195111275,0.999024629592896,14_Jun_2023_08_35
0,5,0,1,1,2,1,1,6,2,1,24,1,43,1,1,5,2,0,0,4,0,1,15,32,1,0,4,5,-1.36833989620209,0.201983287930489,0.71488755941391,-1.67650520801544,0.110189504921436,1.03211915493011,-2.19194722175598,0.032743792980909,1.44715619087219,-1.54934680461884,0.233031094074249,0.997241854667664,14_Jun_2023_08_35
1,3,2,2,1,1,0,5,6,2,0,26,0,44,2,1,5,3,1,0,3,0,0,15,28,1,1,4,5,-1.37263751029968,0.203424051403999,0.715930163860321,-1.67810070514679,0.11051319539547,1.0323029756546,-2.19195365905762,0.032754793763161,1.44720995426178,-1.55291402339935,0.234800145030022,0.9967982172966,14_Jun_2023_08_35
0,1,2,1,0,2,1,8,7,3,1,24,1,44,2,1,6,1,1,0,3,1,0,16,28,2,0,4,7,-1.37742078304291,0.205408066511154,0.717614233493805,-1.67953240871429,0.111141622066498,1.03228843212128,-2.19193458557129,0.032734956592321,1.447181224823,-1.55600738525391,0.236918613314629,0.996573150157928,14_Jun_2023_08_35
0,2,0,1,2,1,1,6,7,3,0,29,1,42,2,3,5,2,1,1,4,1,4,15,30,1,1,4,3,-1.38549530506134,0.208479642868042,0.720762491226196,-1.68177366256714,0.111937031149864,1.0322014093399,-2.19198060035706,0.032734248787165,1.44716954231262,-1.56114876270294,0.240426421165466,0.99643212556839,14_Jun_2023_08_35
1,1,0,1,3,2,0,8,7,8,1,24,1,42,3,2,4,3,0,1,2,1,1,15,30,2,1,3,3,-1.39960062503815,0.211749270558357,0.725517868995667,-1.6840113401413,0.112309701740742,1.03380680084229,-2.1919641494751,0.032764099538326,1.44722986221313,-1.56923270225525,0.244275197386742,0.996757745742798,14_Jun_2023_08_35
1,2,2,1,1,1,2,6,7,3,1,26,0,45,2,1,6,2,0,4,3,1,0,17,28,3,0,4,5,-1.41829133033752,0.215105727314949,0.730817019939423,-1.68782341480255,0.113252885639668,1.03522121906281,-2.19196915626526,0.032724715769291,1.44725227355957,-1.5798351764679,0.248921915888786,0.997028172016144,14_Jun_2023_08_35
0,4,1,2,1,2,0,3,6,3,0,28,0,48,0,2,4,2,0,0,1,1,1,15,28,2,0,4,5,-1.43303191661835,0.219052672386169,0.732994198799133,-1.69216680526733,0.114437900483608,1.03447926044464,-2.19197845458984,0.032658856362105,1.44725024700165,-1.59022617340088,0.253113031387329,0.995477080345154,14_Jun_2023_08_35
