S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M2x,M2y,M2z,M1x,M1y,M1z,M4x,M4y,M4z,M3x,M3y,M3z,sesion_time_stamp
4,1,6,3,5,0,3,0,10,1,62,2,0,3,12,1,10,13,1,35,11,2,43,17,0,66,0,1.561916351,0.665386558,0.778760254,1.66484189,0.419443369,0.591294408,1.144858003,0.793434739,0.662554443,1.247588992,0.656415045,0.734051585,11_Sep_2023_13_59
0,1,7,4,7,0,2,0,9,0,63,1,1,1,13,0,10,12,1,37,4,2,45,17,3,65,0,1.561597347,0.664999187,0.778676808,1.665062785,0.419458568,0.591338336,1.142969489,0.788582861,0.658720195,1.246658325,0.653381467,0.732280672,11_Sep_2023_13_59
1,0,13,7,6,0,1,1,8,0,64,1,0,0,18,1,3,12,2,37,10,2,49,17,0,65,0,1.561294436,0.664755106,0.778656125,1.665183187,0.419441074,0.591476202,1.141425729,0.784430683,0.655484557,1.245931029,0.65098089,0.730875432,11_Sep_2023_13_59
3,0,5,3,3,0,3,1,10,0,66,1,0,0,11,1,8,11,3,36,4,3,48,15,1,69,0,1.560853004,0.664297104,0.778501213,1.665402412,0.419466406,0.591555715,1.139233708,0.77862072,0.651064932,1.245034456,0.647628307,0.728872359,11_Sep_2023_13_59
4,1,6,10,8,0,2,0,10,1,65,1,0,0,14,0,8,9,0,36,7,3,54,22,1,61,0,1.560354829,0.663779914,0.778424382,1.665639877,0.419441223,0.591783583,1.13714397,0.772542238,0.646916747,1.244065523,0.643858552,0.726442516,11_Sep_2023_13_59
3,9,6,6,7,0,1,0,10,1,64,0,1,0,16,1,8,8,2,43,3,1,52,16,0,58,0,1.559949517,0.663378537,0.778310776,1.665685415,0.419359803,0.592154264,1.135649085,0.767519414,0.643902302,1.243233562,0.640918016,0.724777877,11_Sep_2023_13_59
5,1,6,6,7,0,0,0,11,0,67,0,0,0,16,0,8,10,0,45,8,2,49,15,0,59,0,1.559298992,0.662783623,0.778123319,1.665888309,0.419399023,0.592177927,1.132882476,0.760874987,0.639443517,1.242082715,0.636605799,0.722477078,11_Sep_2023_13_59
1,1,6,4,6,1,3,0,10,6,68,2,1,0,12,1,6,10,0,44,8,1,53,13,0,56,0,1.558669329,0.662304044,0.777975619,1.665945649,0.419416636,0.592470527,1.130264521,0.753406823,0.635277629,1.241010547,0.631915748,0.720138967,11_Sep_2023_13_59
3,1,10,11,3,3,7,0,10,0,62,3,0,0,11,13,8,9,3,42,5,1,53,14,2,54,1,1.558228135,0.661967695,0.77784735,1.666078329,0.419416994,0.592622817,1.128404737,0.747503638,0.632004321,1.240070939,0.627939224,0.71823138,11_Sep_2023_13_59
1,1,4,6,4,0,5,0,11,0,69,9,0,0,9,1,9,9,2,48,5,3,51,9,1,51,3,1.557716608,0.661536157,0.777804494,1.666257858,0.419490188,0.592872143,1.125986338,0.739070952,0.627639294,1.238922715,0.622231185,0.715640485,11_Sep_2023_13_59
3,0,7,5,5,1,5,0,15,2,73,12,0,0,12,0,3,9,2,50,4,7,54,8,1,48,0,1.557085991,0.661056995,0.777798414,1.666552782,0.419564068,0.592816949,1.123564482,0.73040837,0.622938812,1.237753749,0.616510272,0.713487804,11_Sep_2023_13_59
3,1,7,7,6,0,9,0,6,1,71,0,3,0,12,1,6,15,0,53,6,2,56,6,3,47,0,1.556620002,0.660695314,0.777857125,1.666624665,0.419551522,0.593192458,1.12189436,0.723687291,0.619167387,1.236796379,0.612180769,0.711496055,11_Sep_2023_13_59
0,0,7,8,3,0,3,4,7,2,72,1,0,0,17,0,7,9,2,51,8,9,58,8,0,51,0,1.556022525,0.660198092,0.777892053,1.666782618,0.419679254,0.593248308,1.119862795,0.714437604,0.614077687,1.235702753,0.606343806,0.708744466,11_Sep_2023_13_59
3,0,3,4,7,0,5,1,10,1,67,1,0,1,11,0,6,11,2,57,11,1,60,7,0,49,0,1.555272937,0.659635603,0.77772367,1.666945338,0.419841558,0.59346205,1.118144751,0.705010116,0.608769834,1.235026121,0.600371242,0.706069529,11_Sep_2023_13_59
4,0,8,4,7,1,4,0,10,0,62,2,0,3,5,1,10,7,4,55,8,0,65,7,0,48,2,1.554753065,0.659214795,0.777706265,1.666957378,0.419897407,0.593809783,1.116986871,0.69778806,0.604479313,1.234716773,0.595730007,0.704108894,11_Sep_2023_13_59
