S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,MCx,MCy,MCz,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,sesion_time_stamp
75,16,15,0,5,0,1,0,5,2,15,4,0,4,4,2,3,10,4,13,56,142,4,57,1,3,10,3,0.030702590942382812,0.044687461107969284,0.34346964955329895,-0.23560604453086853,-0.32732245326042175,0.5681622624397278,-0.032699890434741974,-0.4634811282157898,0.31514430046081543,-0.15653616189956665,-0.027750860899686813,0.3629949688911438,29_Jan_2024_11_07
73,18,16,0,4,0,2,0,5,9,18,4,2,5,7,4,2,19,5,14,52,138,4,58,1,3,18,0,0.0319519080221653,0.04655010253190994,0.34636157751083374,-0.23567377030849457,-0.32745230197906494,0.5682360529899597,-0.03275715932250023,-0.4634827673435211,0.31520992517471313,-0.15513011813163757,-0.027147021144628525,0.3646116852760315,29_Jan_2024_11_07
72,16,15,2,5,0,3,0,3,9,16,4,0,3,6,0,4,18,9,12,54,145,3,57,2,2,7,8,0.03396940603852272,0.04872404783964157,0.3506770133972168,-0.2357199490070343,-0.3276393711566925,0.5683534145355225,-0.03285197168588638,-0.46350574493408203,0.3153083026409149,-0.15305456519126892,-0.026299774646759033,0.3670390844345093,29_Jan_2024_11_07
85,15,15,0,5,0,4,1,6,4,18,5,3,8,9,1,11,17,0,14,58,154,1,56,1,3,10,9,0.0349423810839653,0.050760019570589066,0.3534914255142212,-0.23572775721549988,-0.3277537524700165,0.5684317350387573,-0.03292272984981537,-0.46352526545524597,0.31536853313446045,-0.15164139866828918,-0.025756243616342545,0.3686494827270508,29_Jan_2024_11_07
93,17,14,1,3,1,4,0,2,5,18,9,0,8,6,2,4,18,5,13,60,155,4,60,2,4,12,5,0.03654017671942711,0.05333355441689491,0.357697457075119,-0.2357254922389984,-0.327885240316391,0.568554162979126,-0.03303820267319679,-0.4635612368583679,0.31544679403305054,-0.14949853718280792,-0.024977602064609528,0.3710583746433258,29_Jan_2024_11_07
86,17,17,0,3,0,0,0,5,1,20,3,0,1,8,0,2,15,1,11,61,156,7,59,1,4,11,0,0.03816600143909454,0.055767957121133804,0.36195600032806396,-0.23567257821559906,-0.32797765731811523,0.568661093711853,-0.0332036092877388,-0.4635944664478302,0.3154667615890503,-0.14737054705619812,-0.024250924587249756,0.37343522906303406,29_Jan_2024_11_07
89,18,16,0,5,1,1,0,5,2,18,7,0,4,17,7,0,19,1,18,64,158,7,58,1,4,9,0,0.03915518522262573,0.057176604866981506,0.36484044790267944,-0.23561224341392517,-0.3280184268951416,0.5687315464019775,-0.03330498933792114,-0.4636305570602417,0.3154766857624054,-0.1459376960992813,-0.023791562765836716,0.3749876618385315,29_Jan_2024_11_07
92,15,15,0,2,0,1,0,6,0,17,4,0,1,6,0,8,22,4,13,65,156,4,60,0,1,9,0,0.04057617485523224,0.05934601649641991,0.3692057132720947,-0.23547250032424927,-0.3280690610408783,0.5688607692718506,-0.03344132751226425,-0.4636991620063782,0.31549879908561707,-0.14377498626708984,-0.023156139999628067,0.3772585690021515,29_Jan_2024_11_07
94,12,14,10,4,0,1,0,4,3,18,6,0,2,16,9,0,17,0,19,72,152,0,60,1,6,10,4,0.042087145149707794,0.061407215893268585,0.3736800253391266,-0.2353239804506302,-0.32806679606437683,0.5689788460731506,-0.03354400023818016,-0.46378907561302185,0.31554609537124634,-0.14163799583911896,-0.02259903773665428,0.3794853687286377,29_Jan_2024_11_07
93,15,15,0,2,10,1,0,7,8,19,9,1,3,11,0,0,18,6,15,76,162,11,60,1,5,12,0,0.04315422102808952,0.06256437301635742,0.3765732944011688,-0.2352203130722046,-0.3280439078807831,0.5690552592277527,-0.03359885886311531,-0.46385717391967773,0.31558454036712646,-0.14024002850055695,-0.022278975695371628,0.38095349073410034,29_Jan_2024_11_07
